Readable ID,Firestore ID,Name,Category Level,Display Level,Parent Readable ID,Parent Name,Order,Full Path
what-growth-are-you-proud-of,06dH55yE0LOEd8fKTB4q,"What growth are you proud of?",3,3,personal,"Personal",10,"THEMES > Personal > What growth are you proud of?"
what-world-events-impacted-you,0708608wl6OeHaf9AdWZ,"What world events impacted you?",3,3,historical-events,"Historical Events",0,"THEMES > Historical Events > What world events impacted you?"
sql-financials,0ARNV3d0cWvV1aGHApw4,"SQL Financials",3,3,career,"Career",5,"Adulthood > Career > SQL Financials"
what-was-your-work-culture,0CLfR97PGONDCL31WPi2,"What was your work culture like?",3,3,career-reflection,"Career Reflection",28,"Adulthood > Career Reflection > What was your work culture like?"
cars,0FcrPgv2pDRX8tsOaTgD,"Cars",4,4,what-inventions-have-had-the,"What inventions have had the biggest impact
on your day-to-day life?",7,"THEMES > Technology > What inventions have had the biggest impact
on your day-to-day life? > Cars"
what-relationships-proved-most,0GK6zyTePyrDnZ93rgrD,"What relationships proved most valuable?",3,3,career-reflection,"Career Reflection",58,"Adulthood > Career Reflection > What relationships proved most valuable?"
umbrella-parachute,0JJuboSpZGOVgEvQRq8R,"Umbrella Parachute",4,4,what-do-you-remember-outside,"What do you remember outside of school about this time?",15,"Preschool > Elementary School > What do you remember outside of school about this time? > Umbrella Parachute"
unnamed,0LCntShhMVj2bdRZEljB,"",2,2,introduction,"Introduction",15,"Introduction > "
blessings,0LfeMdaOGZP9iW2c971K,"Blessings",2,2,themes,"THEMES",22,"THEMES > Blessings"
what-leadership-roles-did-you,0Lu5ffwNCTiynxuux4vO,"What leadership roles did you take on?",3,3,career-reflection,"Career Reflection",24,"Adulthood > Career Reflection > What leadership roles did you take on?"
spin-the-bottle,0M6ynbtV5gHxkjwvjmub,"Spin the Bottle",4,4,when-was-your-first-kiss,"When was your first kiss?",0,"THEMES > Relationships > When was your first kiss? > Spin the Bottle"
what-impact-did-she-have-on,0MPl1NGLrDMTgAnLx39j,"What impact did she have on your life?",3,3,my-paternal-grandmother,"My Paternal Grandmother",1,"Introduction > My Paternal Grandmother > What impact did she have on your life?"
how-did-you-decide-where-to-go,0Nh9BexnRbcD3SovSejj,"How did you decide where to go to college?",3,3,college,"College",2,"Adulthood > College > How did you decide where to go to college?"
aguardiente,0PkKf2mcQNVvJpBeImJG,"Aguardiente",4,4,how-did-you-choose-a-major,"How did you choose a major?",23,"Adulthood > Graduate School > How did you choose a major? > Aguardiente"
pool-cleaning,0Qi8PDcqFUBZSRcsWXM9,"Pool Cleaning",4,4,what-was-your-first-real-job,"What was your first real job?",2,"Adulthood > Career > What was your first real job? > Pool Cleaning"
what-things-from-home-did-you,0SDpf6lXtcOLV8laCrVb,"What things from home did you miss the most while living overseas?",3,3,music,"Music",6,"THEMES > Music > What things from home did you miss the most while living overseas?"
food,0Tnq4s7RGaG9x8BFuu5m,"Food",2,2,themes,"THEMES",13,"THEMES > Food"
what-regrets-remain,0WWEhZiHmsn65TYSDcDl,"What regrets remain?",3,3,personal,"Personal",20,"THEMES > Personal > What regrets remain?"
college-reflection,0aj6ElCKVwx07wmQfATI,"College Reflection",3,3,college,"College",19,"Adulthood > College > College Reflection"
what-were-your-most-least,0bu8Oy6JBG6kaMqPHCRh,"What were your most/least favorite college courses?",3,3,college,"College",4,"Adulthood > College > What were your most/least favorite college courses?"
who-were-your-influential,0cXNDPpANeM2HR5sA7AP,"Who were your influential professors?",3,3,college,"College",8,"Adulthood > College > Who were your influential professors?"
what-was-your-most-significant,0g0b8iXTnUQchULpU0Ed,"What was your most significant challenge?",3,3,career-reflection,"Career Reflection",2,"Adulthood > Career Reflection > What was your most significant challenge?"
how-did-your-faith,0g7cbuLfslIhSY0Hsu4G,"How did your faith/spirituality develop?",3,3,childhood-reflection,"Childhood Reflection",8,"Preschool > Childhood Reflection > How did your faith/spirituality develop?"
what-stories-do-you-remember,0gJidJQOv7nlJU3eeywx,"What stories do you remember about her?",3,3,my-maternal-grandmother,"My Maternal Grandmother",2,"Introduction > My Maternal Grandmother > What stories do you remember about her?"
what-was-your-favorite-class,0jIpwmUgdajZCVyrFbpM,"What was your favorite class?",3,3,middle-school,"Middle School",5,"Preschool > Middle School > What was your favorite class?"
how-did-your-priorities-change,0mN0oTFIiM98P2zWkDEG,"How did your priorities change?",3,3,parenthood,"Parenthood",15,"Adulthood > Parenthood > How did your priorities change?"
cutting-grass,0mmX6yKcc3Uoe4zWIMhi,"Cutting Grass",4,4,what-were-your-first-odd-jobs,"What were your first odd jobs?",2,"Adulthood > Career > What were your first odd jobs? > Cutting Grass"
what-changes-surprised-you,0tZEEoAWgIKmRY9LCVsS,"What changes surprised you?",3,3,childhood-reflection,"Childhood Reflection",12,"Preschool > Childhood Reflection > What changes surprised you?"
unavoidable-fight,0uUHs7NwwrzIJj6DQ98I,"Unavoidable Fight",4,4,when-was-your-first-kiss,"When was your first kiss?",1,"THEMES > Relationships > When was your first kiss? > Unavoidable Fight"
academic-turnaround,10g65mcEZjXlwYq9jmK4,"Academic Turnaround",4,4,what-memories-do-you-have-of,"What memories do you have of college?",10,"Adulthood > College > What memories do you have of college? > Academic Turnaround"
how-has-culture-changed,13QQknE3ZDYo8CA5Nv5r,"How has culture changed?",3,3,era-overview,"Era Overview",8,"THEMES > Era Overview > How has culture changed?"
personal,14p5BTU7jhhZQ4thO4Z3,"Personal",3,3,childhood-reflection,"Childhood Reflection",0,"Preschool > Childhood Reflection > Personal"
adult-children,16xhOjsBDVcbK2YU3I2E,"Adult Children",3,3,parenthood,"Parenthood",96,"Adulthood > Parenthood > Adult Children"
1969,1CZhz6p1TnKkBpLcNk6i,"1969",4,4,business,"Business",9,"The Decades > The 1960�s > Business > 1969"
what-new-friendships-formed,1CrnF2GcnFLPMDkkBHP2,"What new friendships formed?",3,3,childhood-reflection,"Childhood Reflection",45,"Preschool > Childhood Reflection > What new friendships formed?"
what-world-events-do-you,1FVZ32biLMg1STCdrvGW,"What world events do you remember?",3,3,middle-school,"Middle School",10,"Preschool > Middle School > What world events do you remember?"
what-were-your-academic,1JAy8bGYY8DRWukHkIoO,"What were your academic strengths?",3,3,high-school,"High School",6,"Preschool > High School > What were your academic strengths?"
did-you-join-a-fraternity-in,1RqW04muEIaEFDSryz4M,"Did you join a fraternity in college?",3,3,college,"College",10,"Adulthood > College > Did you join a fraternity in college?"
do-you-have-a-penny,1X2WuuvTlxI4QjQ9tANQ,"Do You Have a Penny?",4,4,what-stories-do-you-remember,"What stories do you remember about him?",1,"Introduction > My Maternal Grandfather > What stories do you remember about him? > Do You Have a Penny?"
how-has-technology-influenced,1XZyHcrxgeswlN0Xp69l,"How has technology influenced your life?",3,3,technology,"Technology",0,"THEMES > Technology > How has technology influenced your life?"
what-stories-should-be,1aZAHt4l0Zq9MwOXxM5Q,"What stories should be remembered?",3,3,the-future,"The Future",13,"Adulthood > The Future > What stories should be remembered?"
what-values-did-you-try-to,1cKHxA10BspOaeSeb3U6,"What values did you try to instill?",3,3,parenthood,"Parenthood",18,"Adulthood > Parenthood > What values did you try to instill?"
grilling-shark,1fhNAdswFIMZowEaLZdv,"Grilling Shark",4,4,vacations,"Vacations",8,"THEMES > Vacations > Grilling Shark"
how-did-you-personally-change,1rJJL2y8ZQybrVOwV7eD,"�How did you personally change during these years?",3,3,middle-school,"Middle School",8,"Preschool > Middle School > �How did you personally change during these years?"
panty-raids,1uNyu9Tv8xZHZb3PSCUF,"Panty Raids",4,4,what-memories-do-you-have-of,"What memories do you have of college?",6,"Adulthood > College > What memories do you have of college? > Panty Raids"
fourth-grade,1ueQEHhPzqr9e5415DSl,"Fourth Grade",4,4,what-do-you-remember-from,"What do you remember from elementary school?",3,"Preschool > Elementary School > What do you remember from elementary school? > Fourth Grade"
