Readable ID,Firestore ID,Title,Category Readable ID,Category Name,Category Level,Date,Tags,About,,Who-code,What-code,When-code,Type,Recommended Category
what-adventures-have-you-had,8BogedqTQTro7Pi8o6IZ,What adventures have you had?,what-adventures-have-you-had,What adventures have you had?,3,2025-05-23T00:38:20.525Z,,,Adventures,2,70,,Story,
what-s-the-story-behind-your,mXqtkQbUr7N8jHuU5n43,What�s the story behind your name?,what-s-the-story-behind-your,What�s the story behind your name?,3,2025-05-23T00:37:37.474Z,,,Birthdays,2,49,,Story,
when-was-your-first-kiss,ApwCPQxsYSBaVEnXzBAM,When was your first kiss?,when-was-your-first-kiss,When was your first kiss?,3,2025-05-23T00:38:10.245Z,,,Boy/Girlfriend,24,24,,Story,
what-was-your-first-real-job,0h9IKgXv6DfRFjinifkC,What was your first real job?,what-was-your-first-real-job,What was your first real job?,3,2025-05-23T00:38:01.208Z,,,Career,2,55,,Story,
what-were-your-first-odd-jobs,3BKMXj7S8WRPyWAfqMvj,What were your first odd jobs?,what-were-your-first-odd-jobs,What were your first odd jobs?,3,2025-05-23T00:38:00.810Z,,,Career,2,55,,Story,
did-you-ever-quit-a-job,AAdrvysDmlFDf1eugdRr,Did you ever quit a job?,did-you-ever-quit-a-job,Did you ever quit a job?,3,2025-05-23T00:38:05.257Z,,,Career,2,55,,Story,
what-career-regrets-do-you,GSHpbfosnzoMzeHh9jkK,What career regrets do you have?,what-career-regrets-do-you,What career regrets do you have?,3,2025-05-23T00:38:04.351Z,,,Career Reflection,2,55,,Reflection,
how-did-you-prepare-for-change,WEwKEuqBkatJiGdDgGJo,How did you prepare for change?,how-did-you-prepare-for-change,How did you prepare for change?,3,2025-05-23T00:38:03.637Z,,,Career Reflection,2,55,,Reflection,
who-was-your-worst-boss,wDY9GqUaHjhqyNZ1Loip,Who was your worst boss?,who-was-your-worst-boss,Who was your worst boss?,3,2025-05-23T00:38:04.648Z,,,Career Reflection,2,55,,Reflection,
how-did-you-learn-to-drive,fKT9maYSWzaAGaKVnbDc,"How did you learn to
drive?",how-did-you-learn-to-drive,"How did you learn to
drive?",3,2025-05-23T00:38:13.593Z,,,Cars,2,68,,Story,
what-was-your-first-car,fSsExIQ9gL1VCBszU35o,�What was your first car?,what-was-your-first-car,�What was your first car?,3,2025-05-23T00:38:13.082Z,,,Cars,2,68,,Story,
what-accidents-have-you-had,qSBINOYz5AHYa1eME56Q,What accidents have you had?,what-accidents-have-you-had,What accidents have you had?,3,2025-05-23T00:38:13.958Z,,,Cars,2,68,,Story,
william-elizabeth-and-caroline,sKBKpi9owowcBc1uFxrs,"William,
Elizabeth, and Caroline",william-elizabeth-and-caroline,"William,
Elizabeth, and Caroline",3,2025-05-23T00:38:26.861Z,,,Children,16,,,Story,
how-did-you-choose-a-major,ENk2VCqph05aklStVCWg,How did you choose a major?,how-did-you-choose-a-major,How did you choose a major?,3,2025-05-23T00:37:58.850Z,,,College,2,47,,Story,
where-did-you-live-during,vYjMPONMnWgg3gtHA3p6,Where did you live during college?,where-did-you-live-during,Where did you live during college?,3,2025-05-23T00:37:57.430Z,,,College,2,47,,Story,
why-did-you-transfer-to,yHJyoM9G9FIjxApk4td8,"Why
did you transfer to Clemson?",why-did-you-transfer-to,"Why
did you transfer to Clemson?",3,2025-05-23T00:37:56.831Z,,,College,2,47,,Story,
business,kQNdJeF4m7OD6FOZIpEs,Business�,business,Business�,3,2025-05-23T00:38:29.449Z,,,Economy & Business,2,78,,Story,
business,rlASvzzK2qeW0ELWreHy,Business,business,Business,3,2025-05-23T00:38:27.729Z,,,Economy & Business,2,78,,Story,
