Readable ID,Firestore ID,Title,Category Readable ID,Category Name,Category Level,Date,Tags,,Tag,About,Who,Who-code,What,What-code,When,Where,Type,Title
legacy-thoughts,MoyxDflmx3SxVdO93c4D,Legacy Thoughts,legacy-thoughts,Legacy Thoughts,3,2025-05-23T00:37:56.063Z,,,About,About,Self,2,,,,,Story,Introduction > Legacy Thoughts
florida,vEm85BUSei5xATbaPhWP,Florida,florida,Florida,4,2025-05-23T00:38:08.456Z,,,Adventures,,Self,2,Adventures,,,,Story,THEMES > Adventures > What adventures have you had? > Florida
lake-hartwell,JOkQNUHUSHOviK5cgIxa,Lake Hartwell,lake-hartwell,Lake Hartwell,4,2025-05-23T00:37:59.474Z,,,Adventures,,Self,2,Adventures,,,,Story,THEMES > Adventures > What adventures have you had? > Lake Hartwell
lake-hartwell,R90hwYpd0nP8u2PbgqS2,Lake Hartwell,lake-hartwell,Lake Hartwell,4,2025-05-23T00:37:57.907Z,,,Adventures,,Self,2,Adventures,,,,Story,THEMES > Adventures > What adventures have you had? > Lake Hartwell
what-adventures-have-you-had,8BogedqTQTro7Pi8o6IZ,What adventures have you had?,what-adventures-have-you-had,What adventures have you had?,3,2025-05-23T00:38:02.817Z,,,Adventures,,Self,2,Adventures,70,,,Story,THEMES > Adventures > What adventures have you had?
have-you-known-some-colorful,h5YicPusAWcSVpgoR2la,Have you known some colorful characters?,have-you-known-some-colorful,Have you known some colorful characters?,3,2025-05-23T00:37:58.381Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > Have you known some colorful characters?
how-has-the-world-changed-for,D7kkjohWDDLw1prguNt1,How has the world changed for better/worse?,how-has-the-world-changed-for,How has the world changed for better/worse?,3,2025-05-23T00:38:06.552Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > How has the world changed for better/worse?
what-advice-would-you-give,26uGCzCmA9bHvtChQ6kp,What advice would you give your great grandchildren?,what-advice-would-you-give,What advice would you give your great grandchildren?,3,2025-05-23T00:38:14.984Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What advice would you give your great grandchildren?
what-advice-would-you-give,zbhht3S6dkhTIffny1Zz,What advice would you give your great grandchildren?,what-advice-would-you-give,What advice would you give your great grandchildren?,3,2025-05-23T00:38:21.613Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What advice would you give your great grandchildren?
what-are-the-best-things-about,iaVArzt7wd7A5J8iCB4Y,What are the best things about being a grandparent?,what-are-the-best-things-about,What are the best things about being a grandparent?,3,2025-05-23T00:38:29.449Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What are the best things about being a grandparent?
what-are-the-best-things-money,IdcrQSDCDipyo9zMCgnd,What are the best things money can't buy?,what-are-the-best-things-money,What are the best things money can't buy?,3,2025-05-23T00:37:44.645Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What are the best things money can't buy?
what-are-your-happiest-moments,VfQayeFIa1QWQam54vgY,What are your happiest moments?,what-are-your-happiest-moments,What are your happiest moments?,3,2025-05-23T00:38:26.548Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What are your happiest moments?
what-do-you-miss-about-the-old,uhHwGN7pZ6KFmPNbwoGq,What do you miss about the 'old' days?,what-do-you-miss-about-the-old,What do you miss about the 'old' days?,3,2025-05-23T00:38:30.604Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What do you miss about the 'old' days?
what-is-the-secret-to-staying,UyfXVYRECjZOhTAMwcGd,What is the secret to staying young?,what-is-the-secret-to-staying,What is the secret to staying young?,3,2025-05-23T00:37:53.937Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What is the secret to staying young?
