id,name,dimension,parentId,Order,,,,,,,
0.00,WHO/Social,who,NULL,1,,,,,,,
1.00,Self/Personal,who,0.00,1,,,,,,,
2.00,Family,who,0.00,1,,,,,,,
3.00,Parents,who,2.00,1,,,,,,,
4.00,Father,who,3.00,1,,,,,,,
5.00,Mother,who,3.00,2,,,,,,,
6.00,GrandParents,who,2.00,2,,,,,,,
7.00,Paternal Grand Father,who,6.00,1,,,,,,,
8.00,Paternal Grand Mother,who,6.00,2,,,,,,,
9.00,Maternal Grand Father,who,6.00,3,,,,,,,
10.00,Maternal Grand Mother,who,6.00,4,,,,,,,
11.00,Maternal Step Grand Mother,who,6.00,5,,,,,,,
12.00,Siblings,who,2.00,3,,,,,,,
13.00,Cousins,who,2.00,4,,,,,,,
14.00,Spouse,who,2.00,5,,,,,,,
15.00,Children/Parenthood,who,2.00,6,,,,,,,
16.00,William,who,15.00,1,,,,,,,
17.00,Elizabeth,who,15.00,2,,,,,,,
18.00,Caroline,who,15.00,3,,,,,,,
19.00,Grandchildren,who,2.00,7,,,,,,,
20.00,In-Laws,who,2.00,8,,,,,,,
21.00,Pets,who,2.00,9,,,,,,,
21.10,Pud,who,21.00,1,,,,,,,
21.20,Brady,who,21.00,2,,,,,,,
21.30,Maddie,who,21.00,3,,,,,,,
21.40,Tucker,who,21.00,4,,,,,,,
21.50,Cassie,who,21.00,5,,,,,,,
21.60,Beau,who,21.00,6,,,,,,,
22.00,Friends,who,0.00,2,,,,,,,
23.00,Boy/Girlfriend,who,22.00,1,,,,,,,
24.00,Neighborhood,who,22.00,2,,,,,,,
25.00,Work,who,22.00,3,,,,,,,
26.00,School,who,22.00,4,,,,,,,
27.00,WHAT - Themes/Domains,what,NULL,2,,,,,,,
28.00,My Birth,what,27.00,,,,,,,,
29.00,Ancestry,what,27.00,1,,,,,,,
30.00,Family Names,what,29.00,1,,,,,,,
31.00,Bond,what,30.00,1,,,,,,,
32.00,Davis,what,30.00,2,,,,,,,
33.00,Education,what,27.00,3,,,,,,,
34.00,Preschool,what,33.00,1,,,,,,,
35.00,Kindergarten,what,33.00,2,,,,,,,
36.00,Elementary,what,33.00,3,,,,,,,
37.00,Middle School,what,33.00,4,,,,,,,
38.00,High School,what,33.00,5,,,,,,,
39.00,Graduation,what,38.00,1,,,,,,,
40.00,Prom,what,39.00,2,,,,,,,
41.00,Spring Break,what,40.00,3,,,,,,,
42.00,College,what,33.00,6,,,,,,,
43.00,Graduate School,what,33.00,7,,,,,,,
43.10,Internship,what,43.00,1,,,,,,,
44.00,Birthdays,what,27.00,2,,,,,,,
45.00,Marriage,what,27.00,4,,,,,,,
45.10,Ceremony,what,45.00,1,,,,,,,
45.20,Reception,what,45.00,2,,,,,,,
45.30,Honeymoon,what,45.00,3,,,,,,,
46.00,Financial,what,27.00,2,,,,,,,
47.00,Income/Career,what,46.00,5,,,,,,,
47.10,USC,what,47.00,1,,,,,,,
47.20,NCR,what,47.00,2,,,,,,,
47.30,H/3M,what,47.00,3,,,,,,,
47.40,SQL,what,47.00,4,,,,,,,
47.50,Caribiner,what,47.00,5,,,,,,,
47.60,McKesson,what,47.00,6,,,,,,,
47.70,Given,what,47.00,7,,,,,,,
47.80,Dune,what,47.00,8,,,,,,,
48.00,Worth/Investing,what,46.00,9,,,,,,,
49.00,Experiential,what,27.00,6,,,,,,,
50.00,Travel,what,49.00,1,,,,,,,
51.00,Sports,what,49.00,2,,,,,,,
51.10,Baseball,what,51.00,1,,,,,,,
51.20,Basketball,what,51.00,2,,,,,,,
51.30,Golf,what,51.00,3,,,,,,,
51.40,Skiing,what,51.00,4,,,,,,,
51.50,Tennis,what,51.00,5,,,,,,,
51.60,Swimming,what,51.00,6,,,,,,,
51.70,Footbal,what,51.00,7,,,,,,,
52.00,Cars,what,49.00,3,,,,,,,
53.00,Vacations,what,49.00,4,,,,,,,
54.00,Adventures,what,49.00,5,,,,,,,
55.00,Homes & Moves,what,49.00,6,,,,,,,
56.00,Holidays,what,49.00,7,,,,,,,
56.10,Christmas,what,56.00,1,,,,,,,
56.20,Easter,what,56.00,2,,,,,,,
56.30,Thanksgiving,what,56.00,3,,,,,,,
57.00,Food,what,49.00,8,,,,,,,
58.00,Music,what,49.00,9,,,,,,,
59.00,Books,what,49.00,10,,,,,,,
60.00,Styles,what,49.00,11,,,,,,,
61.00,Movies,what,49.00,12,,,,,,,
62.00,Television,what,49.00,13,,,,,,,
63.00,Miscellaneous,what,49.00,14,,,,,,,
64.00,World  & Politics,what,27.00,1,,,,,,,
64.10,Issues,what,64.00,1,,,,,,,
65.00,Science & Technoogy,what,27.00,1,,,,,,,
66.00,Economy & Business,what,27.00,1,,,,,,,
67.00,Society & Culture,what,27.00,1,,,,,,,
68.00,WHEN,when,NULL,3,,,,,,,
69.00,Past,when,68.00,1,,,,,,,
70.00,The Decades,when,69.00,1,,,,,,,
71.00,The 1960s,when,70.00,1,,,,,,,
71.01,1960,when,71.00,1,,,,,,,
71.02,1961,when,71.00,2,,,,,,,
71.03,1962,when,71.00,3,,,,,,,
71.04,1963,when,71.00,4,,,,,,,
71.05,1964,when,71.00,5,,,,,,,
71.06,1965,when,71.00,6,,,,,,,
71.07,1966,when,71.00,7,,,,,,,
71.08,1967,when,71.00,8,,,,,,,
71.09,1968,when,71.00,9,,,,,,,
71.10,1969,when,71.00,10,,,,,,,
72.00,The 1970s,when,70.00,2,,,,,,,
72.01,1970,when,72.00,1,,,,,,,
72.02,1971,when,72.00,2,,,,,,,
72.03,1972,when,72.00,3,,,,,,,
72.04,1973,when,72.00,4,,,,,,,
72.05,1974,when,72.00,5,,,,,,,
72.06,1975,when,72.00,6,,,,,,,
72.07,1976,when,72.00,7,,,,,,,
72.08,1977,when,72.00,8,,,,,,,
72.09,1978,when,72.00,9,,,,,,,
72.10,1979,when,72.00,10,,,,,,,
73.00,The 1980s,when,70.00,3,,,,,,,
73.01,1980,when,73.00,1,,,,,,,
73.02,1981,when,73.00,2,,,,,,,
73.03,1982,when,73.00,3,,,,,,,
73.04,1983,when,73.00,4,,,,,,,
73.05,1984,when,73.00,5,,,,,,,
73.06,1985,when,73.00,6,,,,,,,
73.07,1986,when,73.00,7,,,,,,,
73.08,1987,when,73.00,8,,,,,,,
73.09,1988,when,73.00,9,,,,,,,
73.10,1989,when,73.00,10,,,,,,,
74.00,The 1990s,when,70.00,4,,,,,,,
74.01,1990,when,74.00,1,,,,,,,
74.02,1991,when,74.00,2,,,,,,,
74.03,1992,when,74.00,3,,,,,,,
