id,createdAt,path,name,dimension,parentId,isReflection,order,updatedAt,cLevel,dLevel,ancestorTags
0025d87e-a8ab-4315-9330-402788ed45ea,"{""_seconds"":1748207809,""_nanoseconds"":386000000}","[""WHERE"",""WHERE"",""World"",""Domestic"",""Country"",""State"",""City"",""Place""]",Ave des Abeilles,where,3c988ba4-eda0-4b3a-ba66-2653243692b7,,11,"{""_seconds"":1748207809,""_nanoseconds"":386000000}",,,
008c9d8e-c701-4c83-8fd3-4d86b2e7e9ce,"{""_seconds"":1748207807,""_nanoseconds"":980000000}","[""About"",""About"",""Experiential"",""Society & Culture""]",Music,about,a947cc79-7211-47ea-b3b4-f3d28a8e1b24,,1,"{""_seconds"":1748207807,""_nanoseconds"":980000000}",,,
03894c04-c72a-4bda-8e62-f48488381d0c,"{""_seconds"":1748207806,""_nanoseconds"":281000000}","[""WHO"",""WHO"",""Family"",""GrandParents""]",Maternal Grand Father,who,9e806e92-1d03-4bb5-ab56-55fabd0590d9,,3,"{""_seconds"":1748207806,""_nanoseconds"":281000000}",,,
051c3f01-2b6f-4c99-b21d-7796ea001549,"{""_seconds"":1748207807,""_nanoseconds"":911000000}","[""About"",""About"",""Experiential""]",Travel,about,a9b86e37-91a5-4702-9fe4-ca20c1691c34,,1,"{""_seconds"":1748207807,""_nanoseconds"":911000000}",,,
056a7004-8885-4347-92b6-9566fb5f01a7,"{""_seconds"":1748207809,""_nanoseconds"":352000000}","[""WHERE"",""WHERE"",""World"",""Domestic""]",Country,where,28d36476-5075-421a-85db-2d2a896fd136,,1,"{""_seconds"":1748207809,""_nanoseconds"":352000000}",,,
063c5b11-6fda-469b-b257-23bbf4301a6f,"{""_seconds"":1748207806,""_nanoseconds"":304000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains""]",Ancestry,what,e14d08ba-222d-4c0c-b880-ee392bbf8f69,,1,"{""_seconds"":1748207806,""_nanoseconds"":304000000}",,,
06fcb0c9-4575-4f6e-b0a5-76de3ce99c08,"{""_seconds"":1748207809,""_nanoseconds"":408000000}","[""Surprises""]",Surprises,about,,1,6,"{""_seconds"":1748207809,""_nanoseconds"":408000000}",,,
08511d35-cf2f-4e49-a99a-1ebdc2682da7,"{""_seconds"":1748207809,""_nanoseconds"":428000000}","[""Lesson""]",Lesson,about,,1,11,"{""_seconds"":1748207809,""_nanoseconds"":428000000}",,,
094759fd-f454-4ac9-b11d-a2d05635203c,"{""_seconds"":1748207807,""_nanoseconds"":913000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Financial""]",Income & Career,what,16700a4a-fe15-4738-a701-b0265f7939cb,,1,"{""_seconds"":1748207807,""_nanoseconds"":913000000}",,,
09fd9737-75a1-4605-b588-c773fb05952d,"{""_seconds"":1748207809,""_nanoseconds"":444000000}","[""Least""]",Least,about,,1,19,"{""_seconds"":1748207809,""_nanoseconds"":444000000}",,,
,"{""_seconds"":1747960603,""_nanoseconds"":3000000}",,SQL Financials,,d5HrO5kl9zZu6hpSGVPg,,5,"{""_seconds"":1747960603,""_nanoseconds"":3000000}",3,3,
,"{""_seconds"":1747960645,""_nanoseconds"":882000000}",,Blessings,,wkb24WrIxoboiYCqpIqL,,22,"{""_seconds"":1747960645,""_nanoseconds"":882000000}",2,2,
